Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00    33024     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::innerSize() const
  0.00      0.09     0.00    32770     0.00     0.00  std::ios_base::width(long)
  0.00      0.09     0.00    32768     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::assignCoeff(long, long)
  0.00      0.09     0.00    32768     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::colIndexByOuterInner(long, long)
  0.00      0.09     0.00    32768     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::rowIndexByOuterInner(long, long)
  0.00      0.09     0.00    32768     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::assignCoeffByOuterInner(long, long)
  0.00      0.09     0.00    32768     0.00     0.00  Eigen::internal::unary_evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const>, Eigen::internal::IndexBased, int>::coeff(long, long) const
  0.00      0.09     0.00    32768     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::min() const
  0.00      0.09     0.00    32768     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.09     0.00    32768     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      0.09     0.00    32768     0.00     0.00  long const& std::max<long>(long const&, long const&)
  0.00      0.09     0.00    16513     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.09     0.00    16512     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::innerSize() const
  0.00      0.09     0.00    16387     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 1>::value()
  0.00      0.09     0.00    16385     0.00     0.00  Eigen::internal::pointer_based_stl_iterator<Eigen::Reshaped<Eigen::Array<int, -1, -1, 0, -1, -1>, -1, 1, 0> >::operator!=(Eigen::internal::pointer_based_stl_iterator<Eigen::Reshaped<Eigen::Array<int, -1, -1, 0, -1, -1>, -1, 1, 0> > const&) const
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::pointer_based_stl_iterator<Eigen::Reshaped<Eigen::Array<int, -1, -1, 0, -1, -1>, -1, 1, 0> >::operator++()
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::assignCoeff(long, long)
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::colIndexByOuterInner(long, long)
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::rowIndexByOuterInner(long, long)
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::assignCoeffByOuterInner(long, long)
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::scalar_sum_op<int, int>::operator()(int const&, int const&) const
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::unary_evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::IndexBased, int>::coeff(long, long) const
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, int, int>::Data::func() const
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, int, int>::coeff(long, long) const
  0.00      0.09     0.00    16384     0.00     0.00  Eigen::internal::pointer_based_stl_iterator<Eigen::Reshaped<Eigen::Array<int, -1, -1, 0, -1, -1>, -1, 1, 0> >::operator*() const
  0.00      0.09     0.00    16384     0.00     0.00  std::bernoulli_distribution::param_type::p() const
  0.00      0.09     0.00    16384     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::max() const
  0.00      0.09     0.00    16384     0.00     0.00  bool std::bernoulli_distribution::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.09     0.00    16384     0.00     0.00  bool std::bernoulli_distribution::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::bernoulli_distribution::param_type const&)
  0.00      0.09     0.00    16384     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.09     0.00    16384     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.09     0.00    16384     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.09     0.00      640     0.00     0.00  hood(Eigen::Array<int, -1, -1, 0, -1, -1> const&, Eigen::Array<int, -1, -1, 0, -1, -1>&, int, int, int, int, int)
  0.00      0.09     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.09     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.09     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.09     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.09     0.00      387     0.00     0.00  Eigen::DenseBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::outerSize() const
  0.00      0.09     0.00      259     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.09     0.00      258     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> const> >, Eigen::internal::assign_op<int, int>, 0>::outerSize() const
  0.00      0.09     0.00      130     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.09     0.00      129     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Array<int, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_sum_op<int, int>, Eigen::Array<int, -1, -1, 0, -1, -1> const, Eigen::Transpose<Eigen::Array<int, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<int, int>, 0>::outerSize() const
  0.00      0.09     0.00      129     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.09     0.00      128     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      0.09     0.00      128     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      0.09     0.00      128     0.00     0.55  std::iterator_traits<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::difference_type std::count<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.09     0.00      127     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      0.09     0.00       73     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::value() const
  0.00      0.09     0.00       53     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00      0.09     0.00       36     0.00     0.00  Eigen::internal::aligned_free(void*)
  0.00      0.09     0.00       36     0.00     0.00  Eigen::internal::handmade_aligned_free(void*)
  0.00      0.09     0.00       36     0.00     0.00  void Eigen::internal::conditional_aligned_free<true>(void*)
  0.00      0.09     0.00       36     0.00     0.00  void Eigen::internal::conditional_aligned_delete_auto<int, true>(int*, unsigned long)
  0.00      0.09     0.00       36     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> >::cols() const
  0.00      0.09     0.00       36     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> >::rows() const
  0.00      0.09     0.00       27     0.00     0.00  Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> > >::derived() const
  0.00      0.09     0.00       22     0.00     0.00  std::remove_reference<long&>::type&& std::move<long&>(long&)
  0.00      0.09     0.00       19     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::resize(long, long, long)
  0.00      0.09     0.00       19     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::resize(long, long)
  0.00      0.09     0.00       19     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::variable_if_dynamic(long)
  0.00      0.09     0.00       17     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::_check_template_params()
  0.00      0.09     0.00       17     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.09     0.00       15     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::~DenseStorage()
  0.00      0.09     0.00       15     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::~PlainObjectBase()
  0.00      0.09     0.00       15     0.00     0.00  Eigen::Array<int, -1, -1, 0, -1, -1>::~Array()
  0.00      0.09     0.00       15     0.00     0.00  Eigen::ArrayBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::ArrayBase()
  0.00      0.09     0.00       15     0.00     0.00  Eigen::DenseBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::DenseBase()
  0.00      0.09     0.00       14     0.00     0.00  Eigen::internal::aligned_malloc(unsigned long)
  0.00      0.09     0.00       14     0.00     0.00  Eigen::internal::handmade_aligned_malloc(unsigned long, unsigned long)
  0.00      0.09     0.00       14     0.00     0.00  void* Eigen::internal::conditional_aligned_malloc<true>(unsigned long)
  0.00      0.09     0.00       14     0.00     0.00  Eigen::internal::check_that_malloc_is_allowed()
  0.00      0.09     0.00       14     0.00     0.00  int* Eigen::internal::conditional_aligned_new_auto<int, true>(unsigned long)
  0.00      0.09     0.00       14     0.00     0.00  Eigen::EigenBase<Eigen::Array<int, -1, 1, 0, -1, 1> >::derived() const
  0.00      0.09     0.00       14     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.09     0.00       12     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::DenseStorage()
  0.00      0.09     0.00       12     0.00     0.00  Eigen::internal::assign_op<int, int>::assign_op()
  0.00      0.09     0.00       12     0.00     0.00  Eigen::EigenBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::size() const
  0.00      0.09     0.00       11     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.09     0.00       11     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.00      0.09     0.00       10     0.00     0.00  Eigen::DenseStorage<int, -1, -1, -1, 0>::data()
  0.00      0.09     0.00       10     0.00     0.00  Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::data()
  0.00      0.09     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.09     0.00        9     0.00     0.00  Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> >::CwiseNullaryOp(long, long, Eigen::internal::scalar_constant_op<int> const&)
  0.00      0.09     0.00        9     0.00     0.00  void Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::resizeLike<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> > >(Eigen::EigenBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> > > const&)
  0.00      0.09     0.00        9     0.00     0.00  Eigen::Array<int, -1, -1, 0, -1, -1>& Eigen::PlainObjectBase<Eigen::Array<int, -1, -1, 0, -1, -1> >::_set_noalias<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> > >(Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<int>, Eigen::Array<int, -1, -1, 0, -1, -1> > > const&)
